Q	H	num	q1	q2	q3	q4	n1	n2	n3	n4	η
0.0	17.5	3	0.0	0.0	0.0	0.0	135.66	135.66	135.66	0.00	0.00%
0.0	17.5	4	0.0	0.0	0.0	0.0	135.66	135.66	135.66	135.66	0.00%
0.0	18.0	1	0.0	0.0	0.0	0.0	137.28	0.00	0.00	0.00	0.00%
0.0	18.0	2	0.0	0.0	0.0	0.0	137.28	137.28	0.00	0.00	0.00%
0.0	18.0	3	0.0	0.0	0.0	0.0	137.28	137.28	137.28	0.00	0.00%
0.0	18.0	4	0.0	0.0	0.0	0.0	137.28	137.28	137.28	137.28	0.00%
0.0	18.5	1	0.0	0.0	0.0	0.0	138.88	0.00	0.00	0.00	0.00%
0.0	18.5	2	0.0	0.0	0.0	0.0	138.88	138.88	0.00	0.00	0.00%
0.0	18.5	3	0.0	0.0	0.0	0.0	138.88	138.88	138.88	0.00	0.00%
0.0	18.5	4	0.0	0.0	0.0	0.0	138.88	138.88	138.88	138.88	0.00%
0.0	19.0	1	0.0	0.0	0.0	0.0	140.49	0.00	0.00	0.00	0.00%
0.0	19.0	2	0.0	0.0	0.0	0.0	140.49	140.49	0.00	0.00	0.00%
0.0	19.0	3	0.0	0.0	0.0	0.0	140.49	140.49	140.49	0.00	0.00%
0.0	19.0	4	0.0	0.0	0.0	0.0	140.49	140.49	140.49	140.49	0.00%
0.0	19.5	1	0.0	0.0	0.0	0.0	142.09	0.00	0.00	0.00	0.00%
0.0	19.5	2	0.0	0.0	0.0	0.0	142.09	142.09	0.00	0.00	0.00%
0.0	19.5	3	0.0	0.0	0.0	0.0	142.09	142.09	142.09	0.00	0.00%
0.0	19.5	4	0.0	0.0	0.0	0.0	142.09	142.09	142.09	142.09	0.00%
0.0	20.0	1	0.0	0.0	0.0	0.0	143.68	0.00	0.00	0.00	0.00%
0.0	20.0	2	0.0	0.0	0.0	0.0	143.68	143.68	0.00	0.00	0.00%
0.0	20.0	3	0.0	0.0	0.0	0.0	143.68	143.68	143.68	0.00	0.00%
0.0	20.0	4	0.0	0.0	0.0	0.0	143.68	143.68	143.68	143.68	0.00%
0.0	20.5	1	0.0	0.0	0.0	0.0	145.27	0.00	0.00	0.00	0.00%
0.0	20.5	2	0.0	0.0	0.0	0.0	145.27	145.27	0.00	0.00	0.00%
0.0	20.5	3	0.0	0.0	0.0	0.0	145.27	145.27	145.27	0.00	0.00%
0.0	20.5	4	0.0	0.0	0.0	0.0	145.27	145.27	145.27	145.27	0.00%
0.0	21.0	1	0.0	0.0	0.0	0.0	146.85	0.00	0.00	0.00	0.00%
0.0	21.0	2	0.0	0.0	0.0	0.0	146.85	146.85	0.00	0.00	0.00%
0.0	21.0	3	0.0	0.0	0.0	0.0	146.85	146.85	146.85	0.00	0.00%
0.0	21.0	4	0.0	0.0	0.0	0.0	146.85	146.85	146.85	146.85	0.00%
0.0	21.5	1	0.0	0.0	0.0	0.0	148.43	0.00	0.00	0.00	0.00%
0.0	21.5	2	0.0	0.0	0.0	0.0	148.43	148.43	0.00	0.00	0.00%
0.0	21.5	3	0.0	0.0	0.0	0.0	148.43	148.43	148.43	0.00	0.00%
0.0	21.5	4	0.0	0.0	0.0	0.0	148.43	148.43	148.43	148.43	0.00%
0.0	22.0	1	0.0	0.0	0.0	0.0	150.00	0.00	0.00	0.00	0.00%
0.0	22.0	2	0.0	0.0	0.0	0.0	150.00	150.00	0.00	0.00	0.00%
0.0	22.0	3	0.0	0.0	0.0	0.0	150.00	150.00	150.00	0.00	0.00%
0.0	22.0	4	0.0	0.0	0.0	0.0	150.00	150.00	150.00	150.00	0.00%
0.0	22.5	1	0.0	0.0	0.0	0.0	151.57	0.00	0.00	0.00	0.00%
0.0	22.5	2	0.0	0.0	0.0	0.0	151.57	151.57	0.00	0.00	0.00%
0.0	22.5	3	0.0	0.0	0.0	0.0	151.57	151.57	151.57	0.00	0.00%
0.0	22.5	4	0.0	0.0	0.0	0.0	151.57	151.57	151.57	151.57	0.00%
0.0	23.0	1	0.0	0.0	0.0	0.0	153.13	0.00	0.00	0.00	0.00%
0.0	23.0	2	0.0	0.0	0.0	0.0	153.13	153.13	0.00	0.00	0.00%
0.0	23.0	3	0.0	0.0	0.0	0.0	153.13	153.13	153.13	0.00	0.00%
0.0	23.0	4	0.0	0.0	0.0	0.0	153.13	153.13	153.13	153.13	0.00%
0.0	23.5	1	0.0	0.0	0.0	0.0	154.70	0.00	0.00	0.00	0.00%
0.0	23.5	2	0.0	0.0	0.0	0.0	154.70	154.70	0.00	0.00	0.00%
0.0	23.5	3	0.0	0.0	0.0	0.0	154.70	154.70	154.70	0.00	0.00%
0.0	23.5	4	0.0	0.0	0.0	0.0	154.70	154.70	154.70	154.70	0.00%
0.0	24.0	1	0.0	0.0	0.0	0.0	156.25	0.00	0.00	0.00	0.00%
0.0	24.0	2	0.0	0.0	0.0	0.0	156.25	156.25	0.00	0.00	0.00%
0.0	24.0	3	0.0	0.0	0.0	0.0	156.25	156.25	156.25	0.00	0.00%
0.0	24.0	4	0.0	0.0	0.0	0.0	156.25	156.25	156.25	156.25	0.00%
0.0	24.5	1	0.0	0.0	0.0	0.0	157.80	0.00	0.00	0.00	0.00%
0.0	24.5	2	0.0	0.0	0.0	0.0	157.80	157.80	0.00	0.00	0.00%
